wine,style,acid,red_meat,cured_meat,game,pork,poultry,fish,shellfish,mollusk,green_veg,root_veg,allium,nightshade,hot_pepper,bean,fungi,fresh_green,earthy_green,bitter_floral,savory_brown,sharp_spicy,perfumed_citrus_spicy,smoky_spicy,umami_spicy,baking_spice,anise,butter_cream,fresh_salty,delicate_nutty,strong_firm,pungent
cabernet sauvignon,bold red,1,10,6,6,6,2,0,0,0,1,2,3,4,-1,1,4,3,2,1,1,1,1,1,5,5,3,2,1,1,3,1
merlot,medium red,1,6,8,10,10,8,0,0,0,1,4,4,5,-1,4,5,3,2,1,2,1,1,4,3,4,5,3,1,3,5,5
syrah,bold red,1,10,10,10,6,4,0,0,0,1,1,3,3,1,1,4,1,3,2,2,3,1,3,5,4,5,2,1,2,5,5
malbec,bold red,1,10,8,6,6,6,0,0,0,1,1,3,3,1,1,4,4,4,2,2,1,1,1,5,5,3,2,1,2,5,5
pinot noir,light red,2,6,10,10,8,10,6,6,2,2,3,4,4,1,3,5,2,4,3,3,3,1,1,2,5,3,2,3,4,4,3
sangiovese,medium red,2,6,8,10,10,8,4,2,2,2,3,3,5,-1,3,4,2,5,2,2,1,1,2,5,3,3,3,3,4,5,3
chardonnay,rich white,2,2,4,4,6,10,10,10,6,3,3,4,2,1,2,5,5,3,2,1,1,5,1,1,5,1,4,3,5,4,3
sauvignon blanc,light white,3,0,2,2,4,10,10,10,10,5,2,3,4,1,1,1,5,3,5,1,2,5,1,1,1,1,0,4,4,3,4
riesling dry,light white,3,0,2,4,2,6,10,10,10,4,4,3,2,1,4,1,5,2,5,1,3,5,2,3,3,2,0,5,5,4,3
riesling off-dry,sweet white,2,0,8,4,8,8,6,4,6,3,4,5,3,5,3,2,1,2,4,3,2,4,4,3,4,3,1,3,4,5,5
gewurztraminer,rich white,-1,0,8,8,8,8,4,4,4,3,4,5,2,3,2,2,2,5,5,4,4,4,2,3,4,1,2,5,4,4,5
chenin blanc dry,light white,2,0,2,4,4,8,8,6,8,2,4,4,3,1,2,5,2,4,2,1,3,4,1,1,2,4,1,4,5,3,4
chenin blanc off-dry,sweet white,2,0,8,8,8,8,4,4,2,2,4,4,3,5,4,4,1,3,3,3,4,4,4,2,5,3,2,3,4,5,4
mourvedre,bold red,1,10,6,8,8,4,0,0,0,1,2,3,3,1,2,4,2,4,1,3,1,1,2,4,4,4,2,1,1,3,2
pinotage,bold red,1,10,6,10,6,2,0,0,0,1,2,2,4,-1,2,3,3,2,2,2,1,1,4,4,3,4,2,1,1,5,2
petite sirah,bold red,1,10,6,8,8,2,0,0,0,1,3,3,3,-1,3,3,2,2,2,1,1,1,3,4,5,5,2,2,3,5,4
touriga nacional,bold red,1,10,6,6,8,4,0,0,0,1,3,3,3,-1,4,3,1,2,3,3,1,1,3,4,3,4,2,3,3,4,4
bordeaux blend,bold red,1,8,8,10,8,6,0,0,0,1,3,3,5,0,2,5,3,2,2,2,1,1,3,4,5,5,2,2,3,5,5
zinfandel,bold red,1,8,6,8,8,8,0,0,0,1,3,3,4,1,3,3,1,1,1,3,1,3,3,4,4,3,2,1,2,5,3
cabernet franc,medium red,2,6,8,10,10,8,4,4,2,2,1,3,5,2,4,3,1,3,3,2,1,2,4,2,4,4,3,5,3,2,4
tempranillo,medium red,2,8,10,8,8,8,4,0,0,1,4,4,5,0,3,3,1,3,2,3,3,1,4,4,4,3,3,1,4,4,1
nebbiolo,medium red,1,8,8,8,8,4,0,0,0,1,3,4,5,-1,4,4,2,2,4,3,1,2,2,5,5,5,3,1,2,5,2
barbera,medium red,2,8,6,10,6,6,2,0,0,1,2,3,4,-1,3,4,1,2,3,2,1,1,1,4,3,5,3,2,3,3,5
carignan,medium red,1,4,8,6,8,8,2,2,2,2,4,4,4,1,4,4,2,4,3,4,2,3,3,4,5,2,3,3,2,5,3
rhone blend,medium red,1,8,8,10,8,8,2,2,0,1,2,3,4,1,3,5,1,3,3,4,3,2,2,3,4,4,3,2,3,4,4
grenache,light red,1,4,6,8,8,10,6,2,2,2,3,2,3,2,2,4,3,4,3,3,2,3,2,3,4,4,2,4,5,3,2
gamay,light red,2,2,8,8,8,10,6,4,2,3,4,3,3,2,3,4,3,2,2,4,4,4,2,2,4,4,2,5,5,3,1
st. laurent,light red,2,4,10,10,8,6,2,2,2,2,2,3,4,2,3,4,1,4,3,2,1,1,1,2,4,3,2,3,4,4,1
provencal rose,rose,3,0,4,2,4,6,8,10,8,5,2,2,3,2,2,1,2,2,2,1,4,3,1,1,3,2,1,5,4,2,2
white zinfandel,rose,1,0,2,2,2,4,4,4,2,4,2,1,1,3,1,1,3,1,1,1,3,2,3,3,2,1,2,2,2,2,2
dry rose,rose,2,0,4,2,4,8,8,8,6,5,3,2,3,2,2,1,2,3,3,1,2,2,1,1,3,2,1,5,2,3,3
viognier,rich white,0,0,6,4,8,10,8,6,2,2,5,3,2,4,3,2,1,2,4,3,4,5,4,2,2,3,4,4,4,2,2
marsanne blend,rich white,1,0,4,6,6,8,8,8,4,3,4,3,1,3,2,2,3,2,4,4,4,4,2,2,2,1,4,1,4,5,1
albariño,light white,3,0,2,2,4,8,10,10,10,5,1,2,3,2,2,1,5,2,3,2,3,2,1,1,1,1,1,4,5,2,1
pinot blanc,light white,1,0,2,4,6,8,8,8,2,5,2,3,2,1,4,3,4,3,3,3,2,3,1,1,3,1,2,4,3,3,1
vermentino,light white,2,0,4,2,2,8,10,10,6,5,2,2,2,1,3,1,4,4,3,1,3,1,1,1,1,1,1,4,2,4,1
melon de bourgogne,light white,3,0,2,2,2,6,8,10,10,5,2,2,3,1,2,2,5,2,2,1,2,2,1,2,1,1,0,4,1,1,1
garganega,light white,2,0,2,2,4,8,8,8,8,4,2,3,3,1,4,2,4,4,2,1,1,1,1,1,1,1,1,5,3,4,1
pinot gris/grigio,light white,2,0,2,2,2,4,10,8,10,5,2,3,2,2,2,1,5,2,2,1,4,2,1,1,3,3,2,4,3,2,1
champagne,sparkling,3,4,6,2,4,8,10,10,10,2,3,3,2,-2,3,3,4,4,4,3,3,2,1,1,3,3,3,5,5,4,1
